ref_id,TC_1,TC_2,TC_3
CoV|YP_009725301.9.BC1,45639,35700,35565
CoV|YP_009725299.68.BC1,9985,8950,7458
CoV|YP_009725306.3.BC1,11031,14402,13222
CoV|YP_009725312.0.BC1,355,1621,1068
CoV|YP_009725308.20.BC1,22361,27095,23770
CoV|YP_009725311.9.BC1,10004,10334,14488
CoV|YP_009725307.32.BC1,13864,17074,20384
CoV|YP_009725302.9.BC1,23841,24681,20583
CoV|YP_009725310.11.BC1,7048,7983,8955
CoV|YP_009725305.3.BC1,28905,30312,36153
CoV|YP_009725303.1.BC1,9769,10317,8520
CoV|YP_009725300.16.BC1,20652,20869,27419
CoV|YP_009725309.17.BC1,12322,11422,10708
CoV|YP_009725304.6.BC1,7400,5747,11258
CoV|YP_009725298.21.BC1,17849,11948,16478
CoV|YP_009725297.5.BC1,17325,18049,18704
CoV|P0DTD2.0.BC1,13702,18458,19787
CoV|P0DTD2.1.BC1,16212,19182,19803
CoV|P0DTD2.2.BC1,29497,28536,31183
CoV|P0DTD3.0.BC1,24166,18750,22481
CoV|P0DTD3.1.BC1,40551,41528,50661
CoV|QHR63260.0.BC1,12417,14428,20595
CoV|QHR63260.1.BC1,6454,8273,10554
CoV|QHR63260.2.BC1,12290,11742,10459
CoV|QHR63260.3.BC1,11585,5843,7966
CoV|QHR63260.4.BC1,4445,5654,5412
CoV|QHR63260.5.BC1,17888,16137,20668
CoV|QHR63260.6.BC1,23852,26045,25444
CoV|QHR63260.7.BC1,15599,17646,18739
CoV|QHR63260.8.BC1,8507,8389,6988
CoV|QHR63260.9.BC1,26137,24228,24240
CoV|QHR63260.10.BC1,24420,31475,34952
CoV|QHR63260.11.BC1,41944,41363,46097
CoV|QHR63260.12.BC1,31136,28058,26777
CoV|QHR63260.13.BC1,29373,29565,32763
CoV|QHR63260.14.BC1,23681,20236,24809
CoV|QHR63260.15.BC1,24628,19124,25076
CoV|QHR63260.16.BC1,18409,21229,19131
CoV|QHR63260.17.BC1,9568,10388,8824
CoV|QHR63260.18.BC1,7479,9129,6368
CoV|QHR63260.19.BC1,32560,31153,36941
CoV|QHR63260.20.BC1,16759,27180,22148
CoV|QHR63260.21.BC1,36472,46411,50338
CoV|QHR63260.22.BC1,58728,46495,63239
CoV|QHR63260.23.BC1,16010,21044,16603
CoV|QHR63260.24.BC1,20065,21801,18393
CoV|QHR63260.25.BC1,10014,8654,9498
CoV|QHR63260.26.BC1,18599,19658,17028
CoV|QHR63260.27.BC1,8719,14420,13204
CoV|QHR63260.28.BC1,13720,14806,20611
CoV|QHR63260.29.BC1,40016,32388,33103
CoV|QHR63260.30.BC1,22813,23999,30515
CoV|QHR63260.31.BC1,23923,22833,25870
CoV|QHR63260.32.BC1,16928,10570,14879
CoV|QHR63260.33.BC1,3965,4335,4073
CoV|QHR63260.34.BC1,8739,8192,11470
CoV|QHR63260.35.BC1,38089,39184,47944
CoV|QHR63260.36.BC1,24751,21257,21928
CoV|QHR63260.37.BC1,27467,25078,26305
CoV|QHR63260.38.BC1,31968,24869,31945
CoV|QHR63260.39.BC1,19328,16201,20857
CoV|QHR63260.40.BC1,40608,51644,49448
CoV|QHR63260.41.BC1,14968,13670,11400
CoV|QHR63260.42.BC1,8679,14494,13556
CoV|QHR63260.43.BC1,21695,20398,18849
CoV|QHR63260.44.BC1,20660,19971,34301
CoV|QHR63265.0.BC1,15524,14854,20460
CoV|QHR63265.1.BC1,37554,25947,44521
CoV|QHR63265.2.BC1,27706,35252,37956
CoV|QHR63265.3.BC1,20876,19003,21474
CoV|QHR63267.0.BC1,12911,13405,16148
CoV|QHR63267.1.BC1,8575,11661,10088
CoV|QHR63267.2.BC1,15997,15986,21511
CoV|QHR63267.3.BC1,11916,14951,12012
CoV|QHR63261.0.BC1,18907,24267,26013
CoV|QHR63261.1.BC1,7403,9862,9762
CoV|QHR63261.2.BC1,27130,26571,32418
CoV|QHR63261.3.BC1,28076,34956,30556
CoV|QHR63261.4.BC1,21575,18119,25363
CoV|QHR63261.5.BC1,14433,10648,18747
CoV|QHR63261.6.BC1,8532,14792,13895
CoV|QHR63261.7.BC1,1594,1188,1263
CoV|QHR63261.8.BC1,22977,25082,29052
CoV|QHR63264.0.BC1,2403,3212,5314
CoV|QHR63264.1.BC1,8905,13377,11697
CoV|QHQ82467.0.BC1,31567,31577,31676
CoV|QHQ82467.1.BC1,64753,53187,73744
CoV|QHQ82467.2.BC1,70957,55668,79628
CoV|QHQ82467.3.BC1,14281,11541,17884
CoV|QHQ82467.4.BC1,9339,7572,11277
CoV|QHQ82467.5.BC1,24854,21737,29477
CoV|QHQ82467.6.BC1,31219,25402,33147
CoV|QHQ82471.0.BC1,39366,46548,40643
CoV|QHQ82471.1.BC1,17755,22495,27015
CoV|QHQ82471.2.BC1,17021,16438,19230
CoV|QHQ82471.3.BC1,10168,14091,15004
CoV|QHQ82471.4.BC1,22617,29815,18181
CoV|QHQ82471.5.BC1,39372,44022,42938
CoV|QHQ82471.6.BC1,45224,42114,51401
CoV|QHQ82471.7.BC1,31065,31290,34352
CoV|QHQ82471.8.BC1,38111,33016,37595
CoV|QHQ82471.9.BC1,51146,45515,52942
CoV|QHQ82471.10.BC1,20192,17956,20487
CoV|QHQ82471.11.BC1,2723,7315,5078
CoV|QHQ82471.12.BC1,29054,29323,27715
CoV|QHQ82471.13.BC1,62804,53244,56497
CoV|QHQ82463.0.BC1,20948,21022,23014
CoV|QHQ82463.1.BC1,35324,33763,36438
CoV|QHQ82463.2.BC1,26514,40675,45851
CoV|QHQ82463.3.BC1,21408,32993,26672
CoV|QHQ82463.4.BC1,22620,21423,22038
CoV|QHQ82463.5.BC1,48263,39515,48366
CoV|QHQ82463.6.BC1,30322,42425,29425
CoV|QHQ82463.7.BC1,39319,37330,44060
CoV|QHQ82463.8.BC1,6447,9463,12022
CoV|QHQ82463.9.BC1,26076,20584,28016
CoV|QHQ82463.10.BC1,26193,34581,24101
CoV|QHQ82463.11.BC1,14396,18464,27024
CoV|QHQ82463.12.BC1,31731,41417,40767
CoV|QHQ82463.13.BC1,20346,22235,24186
CoV|QHQ82463.14.BC1,33894,32643,29819
CoV|QHQ82463.15.BC1,9769,5958,12795
CoV|QHQ82463.16.BC1,5906,7762,7468
CoV|QHQ82463.17.BC1,15225,17150,19641
CoV|QHQ82463.18.BC1,19916,19121,19143
CoV|QHQ82463.19.BC1,19283,23446,33062
CoV|QHQ82463.20.BC1,13285,10146,30667
CoV|QHQ82463.21.BC1,18301,19925,21981
CoV|QHQ82463.22.BC1,11743,14882,11184
CoV|QHQ82463.23.BC1,4944,8450,9120
CoV|QHQ82463.24.BC1,15091,17624,19955
CoV|QHQ82463.25.BC1,15706,14430,20416
CoV|QHQ82463.26.BC1,22608,23298,23828
CoV|QHQ82463.27.BC1,16797,14792,15311
CoV|QHQ82463.28.BC1,19980,15633,16575
CoV|QHQ82463.29.BC1,17663,16842,25007
CoV|QHQ82463.30.BC1,43885,39332,43750
CoV|QHQ82463.31.BC1,2678,729,0
CoV|QHQ82463.32.BC1,16668,13636,17856
CoV|QHQ82463.33.BC1,27518,24450,33698
CoV|QHQ82463.34.BC1,30118,31355,37804
CoV|QHQ82463.35.BC1,18616,28838,28167
CoV|QHQ82463.36.BC1,11884,11338,13851
CoV|QHQ82463.37.BC1,4569,2726,4335
CoV|QHQ82463.38.BC1,61719,57852,60755
CoV|QHQ82463.39.BC1,37448,39459,43658
CoV|QHQ82463.40.BC1,15878,11243,12061
CoV|QHQ82463.41.BC1,9180,10019,10239
CoV|QHQ82463.42.BC1,8613,10657,12577
CoV|QHQ82463.43.BC1,7548,11559,10460
CoV|QHQ82463.44.BC1,14365,10784,14231
CoV|QHQ82463.45.BC1,25614,25822,31880
CoV|QHQ82463.46.BC1,20860,18044,14118
CoV|QHQ82463.47.BC1,21112,22783,20347
CoV|QHQ82463.48.BC1,19509,21169,30032
CoV|QHQ82463.49.BC1,5316,7228,2994
